page_type,slug_or_cluster,target_keyword_cluster,locale,intent,serp_evidence_pattern,existing_on_site,confidence,priority_tier,reason
solution,/solutions/ai-tools-for-training-and-development/,best ai tools for training and development,EN,commercial investigation,"Listicle-heavy SERP with recurring tool-roundup pages",no,high,P1,"Highest repeatable query format; strong fit to directory + solution framing"
comparison,/compare/[tool]-alternatives/,[tool] alternatives,EN,bottom-funnel commercial,"Alternatives SERPs show dedicated compare pages from vendors/affiliates",partial,high,P1,"High monetization proximity and clear comparison intent"
comparison,/compare/[tool]-vs-[tool]/,[tool] vs [tool],EN,bottom-funnel commercial,"SERPs contain direct comparison pages + review platforms (G2/SoftwareAdvice)",partial,high,P1,"Decision-stage users; strong internal linking hub potential"
solution,/solutions/eu-ai-act-ai-literacy-training/,EU AI Act AI literacy training,EN/EU,operational compliance,"EU institutional/legal pages + compliance explainers rank",yes,high,P1,"Trust-sensitive query aligned to enterprise L&D governance"
solution,/solutions/new-hire-onboarding-automation/,AI onboarding tools for employees,EN,commercial + operational,"Top-X onboarding tools pages with implementation framing",yes,medium,P2,"Already exists; can be upgraded with stronger comparison blocks"
localized_hub,/pl/ + localized route,best AI training tools (PL),PL,commercial investigation,"Localized top-list pages dominate",partial,medium,P2,"Demand shape present; localization opportunity"
localized_hub,/de/ + localized route,beste KI-Trainings-Tools,DE,commercial investigation,"German list pages and AI tool overviews rank",partial,medium,P2,"Strong market + visible SERP pattern"
localized_hub,/es/ + localized route,mejores herramientas de IA para formación,ES,commercial investigation,"Spanish educational listicles dominate",partial,medium,P2,"Opportunity to differentiate via L&D operations angle"
localized_hub,/cs/ + localized route,nejlepší AI nástroje pro školení,CZ,commercial/informational,"Education-focused listicles dominate",partial,low,P3,"Need stronger local validation and content specificity"
localized_hub,/sk/ + localized route,najlepšie AI nástroje na školenia,SK,commercial investigation,"Local media/directories rank",partial,low,P3,"Smaller market; sequence after PL/DE/ES"
localized_hub,/hu/ + localized route,legjobb AI eszközök képzéshez,HU,commercial/informational,"Mixed listicles and course pages",partial,low,P3,"Intent mix less clean; requires careful page targeting"
